Generation 68: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 69: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 70: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 71: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 72: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 73: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 74: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 75: Best Fitness: 89.8241234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.2731522524128)]
Generation 76: Best Fitness: 89.87740221133205, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28626719449063)]
Generation 77: Best Fitness: 89.87740221133205, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28626719449063)]
Generation 78: Best Fitness: 89.87740221133205, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28626719449063)]
Generation 79: Best Fitness: 89.87740221133205, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28626719449063)]
Generation 80: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 81: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 82: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 83: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 84: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 85: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 86: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 87: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 88: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 89: Best Fitness: 89.9741234758126, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.78322890233343), np.float64(75.2731522524128)]
Generation 90: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 91: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 92: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 93: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 94: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 95: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 96: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 97: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 98: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
Generation 99: Best Fitness: 89.87822865836569, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.28957298262513)]
