Generation 75: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 76: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 77: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 78: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 79: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 80: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 81: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 82: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 83: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 84: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 85: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 86: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 87: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 88: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 89: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 90: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 91: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 92: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 93: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 94: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 95: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 96: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 97: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 98: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
Generation 99: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
