Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 2, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 3, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 3, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 91.22364909070207, Player Life: 72, Enemy Life: 0, Time: 394, Gain: 72
Enemy 4, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 4, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 20.89744140538643, Player Life: 0, Enemy Life: 70.0, Time: 447, Gain: -70.0
Enemy 5, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 5, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 90.68901301948917, Player Life: 62.80000000000034, Enemy Life: 0, Time: 268, Gain: 62.80000000000034
Enemy 6, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: -5.648974238161206, Player Life: 0, Enemy Life: 100, Time: 284, Gain: -100
