Generation 80: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 81: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 82: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 83: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 84: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 85: Best Fitness: 182.64580700972596, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.64704041507838), np.float64(90.21585110906253), np.float64(92.93833644349735)]
Generation 86: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 87: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 88: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 89: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 90: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 91: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 92: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 93: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 94: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 95: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 96: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 97: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 98: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
Generation 99: Best Fitness: 183.8330644506927, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(91.22364909070207), np.float64(92.93833644349735)]
