Generation 57: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 58: Best Fitness: 147.04905360620245, Per-Enemy Fitness: [np.float64(83.66497518017192), np.float64(89.00157804100165), np.float64(66.10559716573515), np.float64(85.00167537496051)]
Generation 59: Best Fitness: 147.04905360620245, Per-Enemy Fitness: [np.float64(83.66497518017192), np.float64(89.00157804100165), np.float64(66.10559716573515), np.float64(85.00167537496051)]
Generation 60: Best Fitness: 147.70905360620247, Per-Enemy Fitness: [np.float64(86.78497518017193), np.float64(89.12157804100165), np.float64(66.10559716573515), np.float64(84.40167537496052)]
Generation 61: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 62: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 63: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 64: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 65: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 66: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 67: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 68: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 69: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 70: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
