Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 5, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 6, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 6, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 21.812614194159245, Player Life: 0, Enemy Life: 70.0, Time: 179, Gain: -70.0
Enemy 7, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 7, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 92.81833644349736, Player Life: 79.6000000000002, Enemy Life: 0, Time: 171, Gain: 79.6000000000002
Enemy 8, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 30.299556426609314, Player Life: 0, Enemy Life: 60.0, Time: 299, Gain: -60.0
Enemy 8, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 30.299556426609314, Player Life: 0, Enemy Life: 60.0, Time: 299, Gain: -60.0
Enemy 8, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 30.299556426609314, Player Life: 0, Enemy Life: 60.0, Time: 299, Gain: -60.0
Enemy 8, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 30.299556426609314, Player Life: 0, Enemy Life: 60.0, Time: 299, Gain: -60.0
Enemy 8, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 30.299556426609314, Player Life: 0, Enemy Life: 60.0, Time: 299, Gain: -60.0
