Generation 51: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 52: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 53: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 54: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 55: Best Fitness: 158.86321136528022, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.84704041507838), np.float64(74.75583309933626), np.float64(75.04157530697022)]
Generation 56: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 57: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 58: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 59: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 60: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 61: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 62: Best Fitness: 162.27446780423344, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.24704041507837), np.float64(86.65196501081935), np.float64(93.84936470590375)]
Generation 63: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 64: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 65: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 66: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 67: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 68: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 69: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 70: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 71: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 72: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 73: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 74: Best Fitness: 162.4234975811185, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(85.19140997390338), np.float64(93.53833644349734)]
Generation 75: Best Fitness: 162.86961106928916, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.33193985886487), np.float64(87.59140997390337), np.float64(75.34051778424038)]
Generation 76: Best Fitness: 162.86961106928916, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.33193985886487), np.float64(87.59140997390337), np.float64(75.34051778424038)]
Generation 77: Best Fitness: 162.86961106928916, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.33193985886487), np.float64(87.59140997390337), np.float64(75.34051778424038)]
Generation 78: Best Fitness: 162.86961106928916, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.33193985886487), np.float64(87.59140997390337), np.float64(75.34051778424038)]
Generation 79: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 80: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 81: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 82: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 83: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 84: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 85: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 86: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 87: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 88: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 89: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 90: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 91: Best Fitness: 176.10747554798104, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.73193985886488), np.float64(84.79342407327508), np.float64(92.87833644349736)]
Generation 92: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 93: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 94: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 95: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 96: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 97: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 98: Best Fitness: 181.12757849364328, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.53193985886487), np.float64(88.75499468596398), np.float64(93.41833644349735)]
Generation 99: Best Fitness: 180.95473648085277, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(92.24704041507837), np.float64(88.75499468596398), np.float64(92.87833644349736)]
